,Company Name,Job Title,Location
0,Verisk,SQL Developer,"Kathmandu, Bāgmatī, Nepal"
1,Verisk,Python Developer ( Cloud /AWS ),"Kathmandu, Bāgmatī, Nepal"
2,Crossover for Work,"Software Development Engineer (Graduate 2020/2021), Trilogy (Remote) - $60,000/year USD","Kathmandu, Bāgmatī, Nepal"
3,OmnicomMediaGroup Nepal,Graduate Support Engineer,
4,Daraz,unior Data Analyst/BI,"Kathmandu, Bāgmatī, Nepal"
5,CloudFactory.,Software Engineer,"Kathmandu, Bāgmatī, Nepal"
6,Headhunt Services,Back End Developer,"Kathmandu, Bāgmatī, Nepal"
7,Cotiviti,Senior MS-SQL Developer,"Kathmandu, Bāgmatī, Nepal"
8,Foodmandu,Front End Software Developer,"Kathmandu, Bāgmatī, Nepal"
9,WEBO Digital,Frontend Developer,"Kathmandu, Bāgmatī, Nepal"
10,Riddhasoft Pvt. Ltd.,asp.net developer,"Kathmandu, Bāgmatī, Nepal"
11,IME Group Nepal,ASP.Net Developer,"Kathmandu, Bāgmatī, Nepal"
12,Puryau,PHP Developer,"Kathmandu, Bāgmatī, Nepal"
13,Learngaroo,Full Stack Developer,"Kathmandu, Bāgmatī, Nepal"
14,JobAxle,Dotnet Developer,"Kathmandu, Bāgmatī, Nepal"
15,Cellapp,PHP Developer - Mid Level & Trainees,"Kathmandu, Bāgmatī, Nepal"
16,NAMLO Innovation Management Pvt. Ltd.,Back End Developer,"Kathmandu, Bāgmatī, Nepal"
17,SojoJob,Android Developer,"Kathmandu, Bāgmatī, Nepal"
18,Agile Solutions Pvt. Ltd.,unior .NET Developer,"Kathmandu, Bāgmatī, Nepal"
19,COTIVITI NEPAL (formerly Verscend Nepal),Dev Ops Engineer,"Kathmandu, Bāgmatī, Nepal"
20,Sherpa Technologies,ava Developer / Flutter Developer,"Kathmandu, Bāgmatī, Nepal"
21,eSewa Fonepay,Back-end Developer and Front-end Developer,"Kathmandu, Bāgmatī, Nepal"
22,Mediflow Solution Pvt. Ltd,Mid level Dotnet Developer,"Kathmandu, Bāgmatī, Nepal"
23,Heubert,avascript Engineer,"Kathmandu, Bāgmatī, Nepal"
